ts_iso	epoch	prompt_tokens_total	prompt_seconds_total	tokens_predicted_total	tokens_predicted_seconds_total	requests_processing	requests_deferred
2026-05-12T22:19:34-0400	1778638774	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:36-0400	1778638776	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:38-0400	1778638778	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:40-0400	1778638780	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:42-0400	1778638782	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:44-0400	1778638784	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:46-0400	1778638786	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:49-0400	1778638789	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:51-0400	1778638791	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:53-0400	1778638793	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:55-0400	1778638795	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:57-0400	1778638797	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:59-0400	1778638799	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:01-0400	1778638801	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:03-0400	1778638803	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:05-0400	1778638805	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:07-0400	1778638807	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:09-0400	1778638809	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:11-0400	1778638811	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:13-0400	1778638813	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:15-0400	1778638816	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:18-0400	1778638818	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:20-0400	1778638820	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:22-0400	1778638822	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:24-0400	1778638824	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:26-0400	1778638826	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:28-0400	1778638828	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:30-0400	1778638830	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:32-0400	1778638832	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:34-0400	1778638834	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:36-0400	1778638836	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:38-0400	1778638838	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:40-0400	1778638840	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:43-0400	1778638843	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:45-0400	1778638845	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:47-0400	1778638847	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:49-0400	1778638849	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:51-0400	1778638851	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:53-0400	1778638853	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:55-0400	1778638855	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:57-0400	1778638857	33364	116.365	2048	168.881	1	0
2026-05-12T22:20:59-0400	1778638859	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:01-0400	1778638861	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:03-0400	1778638863	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:05-0400	1778638865	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:07-0400	1778638867	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:10-0400	1778638870	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:12-0400	1778638872	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:14-0400	1778638874	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:16-0400	1778638876	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:18-0400	1778638878	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:20-0400	1778638880	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:22-0400	1778638882	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:24-0400	1778638884	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:26-0400	1778638886	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:28-0400	1778638888	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:30-0400	1778638890	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:32-0400	1778638892	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:35-0400	1778638895	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:37-0400	1778638897	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:39-0400	1778638899	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:41-0400	1778638901	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:43-0400	1778638903	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:45-0400	1778638905	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:47-0400	1778638907	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:49-0400	1778638909	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:51-0400	1778638911	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:53-0400	1778638913	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:55-0400	1778638915	33364	116.365	2048	168.881	1	0
2026-05-12T22:21:57-0400	1778638917	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:00-0400	1778638920	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:02-0400	1778638922	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:04-0400	1778638924	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:06-0400	1778638926	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:08-0400	1778638928	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:10-0400	1778638930	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:12-0400	1778638932	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:14-0400	1778638934	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:16-0400	1778638936	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:18-0400	1778638938	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:20-0400	1778638940	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:22-0400	1778638942	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:25-0400	1778638945	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:27-0400	1778638947	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:29-0400	1778638949	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:31-0400	1778638951	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:33-0400	1778638953	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:35-0400	1778638955	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:37-0400	1778638957	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:39-0400	1778638959	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:41-0400	1778638961	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:43-0400	1778638963	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:45-0400	1778638965	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:47-0400	1778638967	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:50-0400	1778638970	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:52-0400	1778638972	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:54-0400	1778638974	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:56-0400	1778638976	33364	116.365	2048	168.881	1	0
2026-05-12T22:22:58-0400	1778638978	33364	116.365	2048	168.881	1	0
